Type,Effort,Prob
Observer,0.630468549,0.99
Observer,0.201575422,0.517901334
Observer,0.925307028,0.811373039
Observer,0.448658863,0.895643427
Observer,0.47967805,0.873914808
Observer,0.648031961,0.99
Observer,0.700368934,0.802791269
Observer,0.237268774,0.631230827
Observer,0.019266806,0.023979554
Observer,0.639965415,0.819105296
Observer,0.678090593,0.99
Observer,0.14256732,0.262962295
Observer,0.70294093,0.99
Observer,0.136008658,0.179726072
Observer,0.585170969,0.803716961
Observer,0.121490549,0.119351115
Observer,0.16588096,0.374643538
Observer,0.635208921,0.841636995
